cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
4,Clusiaceae,Clusia.alata,28.0,48.0,160.0,10.7,pustulas,pustulas,710852.9,9558908.5,2280.3,1,1
13,Euphorbiaceae,Hyeronima.asperifolia,14.5,45.0,176.0,8.7,pustulas,pustulas,710852.1,9558904.9,2280.4,1,1
24,Clusiaceae,Clusia.alata,22.0,83.0,180.0,9.8,estriada,estriada,710857.7,9558905.3,2279.2,1,1
27,Myrsinaceae,Myrsine.andina,10.2,74.0,90.0,5.1,pustulas,pustulas,710859.1,9558908.6,2279.2,1,1
30,Myrsinaceae,Myrsine.andina,34.5,79.0,60.0,8.7,estriada,estriada,710860.2,9558907.8,2279.4,1,1
33,Moraceae,Helicostylis.tovarensis,13.5,90.0,0.0,5.2,pustulas,pustulas,710853.0,9558913.8,2281.4,1,1
35,Moraceae,Helicostylis.tovarensis,8.4,72.0,188.0,5.7,estriada,estriada,710852.7,9558911.2,2281.4,1,1
39,Chlorantaceae,Hedyosmum.spectabile,6.0,35.0,162.0,4.3,estriada,estriada,710853.9,9558910.3,2279.9,1,1
45,Rubiaceae,Elaeagia.karstenii,7.4,48.0,92.0,5.1,lisa,lisa,710851.0,9558914.5,2282.7,1,1
55,Lauraceae,Nectandra.reticulata,2.7,26.0,110.0,4.4,lisa,lisa,710860.4,9558906.2,2279.1,1,1
57,Euphorbiaceae,Alchornea.grandiflora,11.0,0.0,90.0,4.0,estriada,estriada,710860.5,9558904.2,2278.4,1,1
59,Clusiaceae,Clusia.alata,9.2,76.0,101.0,3.8,estriada,estriada,710860.9,9558908.6,2279.5,1,1
60,Liana,Liana,4.7,42.0,120.0,4.7,estriada,estriada,710861.1,9558908.5,2279.6,1,1
61,Aquifoliaceae,Maytenus.sp2,5.8,46.0,130.0,4.3,estriada,estriada,710861.5,9558909.9,2279.4,1,1
66,Ericaceae,Cavendishia.bracteata,5.5,27.0,128.0,1.3,estriada,estriada,710863.6,9558910.2,2278.0,1,1
68,Myrtaceae,Myrcianthes.sp,2.0,20.0,132.0,1.4,lisa,lisa,710861.7,9558909.6,2279.1,1,1
69,Myrtaceae,Myrcianthes.sp,1.9,38.0,162.0,1.3,lisa,lisa,710861.7,9558909.5,2279.1,1,1
72,Melastomataceae,Meriania.sp2,9.7,28.0,180.0,5.6,lisa,lisa,710855.5,9558913.8,2280.5,1,1
